ID,名称,昵称,等级,职位,加入时间,上次登录时间,下线时间,本周功勋,累计功勋,斗技积分,累计勋章,赠送次数,受赠次数,今日任务完成次数,本周任务完成次数,道馆完成次数
5a5a26078dda7625b254adcc,佛系中年少女七,,60,成员,2018-01-18 00:12:34,2019-09-01 06:33:04,2019-09-01 06:50:14,434,26168,1000,38829,358,856,0,150,192
5a6186e38dda760d22750de1,明亮的还魂梦境,,32,成员,2018-01-19 14:49:04,2019-07-14 05:15:33,2019-07-14 05:34:42,0,0,1000,1708,6,0,0,0,0
581beb08c435c902cebaace3,悠久的绝命远行者,,60,成员,2018-03-26 22:27:34,2019-02-25 23:20:19,2019-02-26 00:16:11,0,2094,1000,85315,51,32,0,0,1
5b7e9e2556331a1e99a55dab,琨琨,,60,成员,2018-08-23 22:39:35,2019-08-21 19:50:20,2019-08-21 20:06:56,0,14532,1000,32878,239,483,0,0,117
59817ff344eb6f48d7900c05,然然小白兔,,60,成员,2018-09-11 12:13:33,2019-08-31 01:24:42,2019-08-31 01:40:32,0,3273,1000,17500,106,79,0,0,23
5829017f1dcc4c5e0665ff28,鸯,,21,成员,2018-09-12 15:37:03,2019-08-30 08:32:56,2019-08-30 08:50:25,0,17,1000,2853,45,55,0,0,1
5867e255043bc2593c06444d,小抛,,60,成员,2018-09-15 20:10:49,2019-03-22 10:04:46,2019-03-22 10:22:43,0,8199,1000,39132,275,158,0,0,73
57fb732aac74bd14251cc7d8,@赫拉@,,60,成员,2018-09-21 10:09:21,2019-09-01 07:31:28,2019-09-01 08:00:53,319,7645,1000,100148,52,269,0,0,42
5bafaea08dd18c416b014a8e,冰幻叶竹,,59,成员,2018-09-30 10:22:07,2019-05-29 14:11:51,2019-05-29 14:35:49,0,9113,1000,22598,544,452,0,0,38
58136d3f921eaf279aaee62a,银尘。,,60,成员,2018-10-01 10:50:32,2019-08-27 23:48:03,2019-08-28 00:11:03,0,1322,1000,31099,228,147,0,0,3
57f5ec7330fe005a626df21a,尼古拉斯佐佐木,,60,成员,2018-10-09 17:01:31,2019-09-01 08:28:23,2019-09-01 09:01:53,392,23474,1000,59826,524,580,30,130,155
5bbf5313bd72b6187f14a7b8,白露あ诗,,43,成员,2018-10-21 23:06:41,2019-08-22 10:57:57,2019-08-22 11:18:57,0,7451,1000,11687,15,239,0,0,52
